Friend_count,Follower_count,Following_count,profile_picture,id,Name,cover_photo,Công việc,Học vấn,Nơi từng sống,Giới thiệu về Duy,Trích dẫn yêu thích,Giới thiệu về Thảo,Giới thiệu về Cường,Giới thiệu về Tánh,Giới thiệu về Biển,Giới thiệu về Hanh,Giới thiệu về Thiên,Giới thiệu về Hùng,Giới thiệu về Thế Hiền,Giới thiệu về Hoàng,Giới thiệu về Tan,Giới thiệu về Hột Quẹt - Bật Lửa ZIPPO,Giới thiệu về Thiên Ân,Giới thiệu về Quân,Giới thiệu về Hào,Giới thiệu về Lủi,Giới thiệu về Nun,Giới thiệu về Khanh,Giới thiệu về Tri Lam,Giới thiệu về Kha,Giới thiệu về Phuong,Giới thiệu về Tuấn,Giới thiệu về Ngọc,Giới thiệu về Sanh,Giới thiệu về Lâm,Giới thiệu về Dũng,Giới thiệu về Chuột,Giới thiệu về Minh Anh,Giới thiệu về Đức
,,,https://scontent.fhan14-1.fna.fbcdn.net/v/t39.30808-1/399609641_317728927634062_1523942011852636105_n.jpg?stp=cp0_dst-jpg_e15_q65_s120x120&_nc_cat=107&ccb=1-7&_nc_sid=4da83f&_nc_ohc=sOd6PY9fJG4AX9gtutf&_nc_ht=scontent.fhan14-1.fna&oh=00_AfBT36j7xpomM2m2Ow1CcTLQRzYHporT__AMBmWqFp2sFw&oe=65709021,100081908705710,Ngan Hường,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://scontent.fhan14-2.fna.fbcdn.net/v/t39.30808-1/326691912_2322847514542736_3515066666862877255_n.jpg?stp=cp0_dst-jpg_e15_p120x120_q65&_nc_cat=106&ccb=1-7&_nc_sid=4da83f&_nc_ohc=nGVbhKjsDegAX_iOzno&_nc_ht=scontent.fhan14-2.fna&oh=00_AfB54pk6g6QasCmSMmRvkVQMVt9nEw9Ia-_exik47tSMGQ&oe=65706816,100013027962246,Phương Nam,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.18169-9/15726935_225701941207403_2962769913542001040_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=102&ccb=1-7&_nc_sid=d668b3&_nc_ohc=bYrZKlIvUWsAX83glA_&_nc_ht=scontent.fhan14-4.fna&oh=00_AfDny9BBBKv8iXQGziJmhWRE3KTGnGXlcyTWqlvFd9u-5w&oe=65939A4D,"THPT Tam Phú
Studying
Trường Thpt Tam Phú - Thủ Đức
học sinh","THPT Tam Phú
Trường trung học","Thành phố Hồ Chí Minh
Tỉnh/Thành phố hiện tại
Thành phố Hồ Chí Minh
Quê quán",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-1/337299964_185901227537723_79456993430768587_n.jpg?stp=cp0_dst-jpg_e15_p120x120_q65&_nc_cat=103&ccb=1-7&_nc_sid=4da83f&_nc_ohc=5jRbrma9pGYAX8aGgyu&_nc_ht=scontent.fhan14-3.fna&oh=00_AfCGVVunr5rM0pRSa6QqCOom4XdjR4RyR_1ndaWRoQzDXg&oe=6570E635,100091456565349,Bùi Lộc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-1/403984072_1595196327968841_4237347641683644160_n.jpg?stp=cp0_dst-jpg_e15_p120x120_q65&_nc_cat=102&ccb=1-7&_nc_sid=4da83f&_nc_ohc=QdGL2dndO8AAX_2xD1u&_nc_ht=scontent.fhan14-4.fna&oh=00_AfDzlQ0Yw9k4S9vfaxX2rdC4N7NT8eKp1M6-xPzDCZglyw&oe=6570538A,100024354676803,Huyy Huyy,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.6435-9/107827901_804316093723539_1968486278937254575_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=105&ccb=1-7&_nc_sid=d668b3&_nc_ohc=hRc5TEoW_EAAX8DoFgQ&_nc_ht=scontent.fhan14-1.fna&oh=00_AfBJ5uxgxO9tg9Nq8yGIqxrjlzMKNQQLW481cKKSD4gpQA&oe=6593C4B4,,"Đẹp Trai Đừng Hỏi
Cao đẳng/Đại học
2023 - Hiện tại","Thành phố Hồ Chí Minh
Tỉnh/Thành phố hiện tại
Buôn Ma Thuột, Đắc Lắk, Vietnam
Quê quán",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://scontent.fhan14-1.fna.fbcdn.net/v/t39.30808-1/402249903_312650498322592_8807576652181815626_n.jpg?stp=cp0_dst-jpg_e15_p120x120_q65&_nc_cat=105&ccb=1-7&_nc_sid=4da83f&_nc_ohc=n89RmBBCHCEAX9tdNIC&_nc_ht=scontent.fhan14-1.fna&oh=00_AfBfzK2jLGBp1QjJSBi0RnhwvsJk0l54LNbJHFQ4ad8Vhw&oe=65719BE6,100087329329406,Jay Gatsby,https://scontent.fhan14-2.fna.fbcdn.net/v/t39.30808-6/318558577_936077150690524_8040440367112660439_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=106&ccb=1-7&_nc_sid=ff2d77&_nc_ohc=1rolyry8Tg4AX8Q2sbQ&_nc_ht=scontent.fhan14-2.fna&oh=00_AfA3SP-0aQzq2oHaFmGZYhBdrraJ1qoIFybltMiaHe0jZA&oe=6571475A,,,"Los Angeles
Tỉnh/Thành phố hiện tại
Tahoua, Niger
Quê quán",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.6435-1/68618868_751550228595800_6966552617581281280_n.jpg?stp=cp0_dst-jpg_e15_p120x120_q65&_nc_cat=103&ccb=1-7&_nc_sid=db1b99&_nc_ohc=78pqRxfTckEAX8Cb4rd&_nc_ht=scontent.fhan14-3.fna&oh=00_AfATSAf6Fi2vjL8o0TAq2Q0oPcHVUs3OYpr2x8LtwkOYbA&oe=65938D68,100012224885604,Tien Vu,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.6435-9/72470356_804905113260311_3379700616942059520_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=104&ccb=1-7&_nc_sid=d668b3&_nc_ohc=tRkzwsNU09EAX-4oubh&_nc_ht=scontent.fhan14-3.fna&oh=00_AfCims_O68s-CIka7i7W82HahBRaEU0RgHjTyfeiNTsPFA&oe=659393C9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-1/405903683_359632950071400_8749287838692460981_n.jpg?stp=cp0_dst-jpg_e15_p120x120_q65&_nc_cat=111&ccb=1-7&_nc_sid=4da83f&_nc_ohc=JGLj_2C5-skAX9O4hkO&_nc_ht=scontent.fhan14-4.fna&oh=00_AfCW9q0ilsmKcz2waLu12b-X3oIpNMR-lqBxzqPA8PBEcA&oe=6571077E,100080740934895,Tài Ngô Hữu,https://scontent.fhan14-1.fna.fbcdn.net/v/t39.30808-6/318241692_182064457828251_1099145101594665164_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=101&ccb=1-7&_nc_sid=ff2d77&_nc_ohc=WaEoqQokN7EAX9bsrnx&_nc_ht=scontent.fhan14-1.fna&oh=00_AfBgxRGzhO_ZHe9ECd_4v1eRy-M1e0Q3VsuLeyehqRKQZQ&oe=6571E3C8,,,"Long Xuyên
Quê quán",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-1/262377805_448239583327706_6107479547284912792_n.jpg?stp=cp0_dst-jpg_e15_p120x120_q65&_nc_cat=1&ccb=1-7&_nc_sid=4da83f&_nc_ohc=tuwP0gZ_GrAAX8QtML0&_nc_ht=scontent.fhan14-3.fna&oh=00_AfDUZV2ARhulW8cR5-EuhNCPrYiF7ci70BaNWA5W1ENqYQ&oe=6571AC20,100044250048500,Anh Da Đen,https://scontent.fhan14-1.fna.fbcdn.net/v/t39.30808-6/262063929_448239586661039_8211965629615079604_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=105&ccb=1-7&_nc_sid=ff2d77&_nc_ohc=9CPcIpCbbPQAX8jiMEB&_nc_ht=scontent.fhan14-1.fna&oh=00_AfAMcU9cofFLvw5iaI95wmvKfiD139_R2K1V8td_HAIy9g&oe=657149BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://scontent.fhan14-1.fna.fbcdn.net/v/t39.30808-1/399301439_359695406503382_4631326853236665798_n.jpg?stp=cp0_dst-jpg_e15_p120x120_q65&_nc_cat=101&ccb=1-7&_nc_sid=4da83f&_nc_ohc=bbtCn_G1NicAX_uTWqs&_nc_ht=scontent.fhan14-1.fna&oh=00_AfDxKODTSwW94wsQ9MXUZR57Mcsii7xPoeeSS4iZ9EuJ-w&oe=65715285,100073887753424,Lê Văn Hiếu,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-6/325474715_640139554530238_4375062375483557021_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=109&ccb=1-7&_nc_sid=ff2d77&_nc_ohc=MolAlFDnN4YAX-eZyOs&_nc_ht=scontent.fhan14-4.fna&oh=00_AfCZ-WYOQbqAZjdMkRly66KRxtTGvG6nntvvNQHMXfewDA&oe=6571A335,,,"Hà Nội
Tỉnh/Thành phố hiện tại
Tuyên Quang
Quê quán",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-1/400686440_1001785781114322_961160289019525995_n.jpg?stp=cp0_dst-jpg_e15_q65_s120x120&_nc_cat=109&ccb=1-7&_nc_sid=4da83f&_nc_ohc=HMCwFjsqhXMAX_oFUPx&_nc_ht=scontent.fhan14-4.fna&oh=00_AfC8ocW6FuGciCekzDQN4W52xXxZmMilwy7h9pEbwkarpg&oe=65711E9D,100038487273914,Hoàng Quang Hưng,https://scontent.fhan14-3.fna.fbcdn.net/v/t39.30808-6/397192223_994323118527255_5617978936193384064_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=103&ccb=1-7&_nc_sid=ff2d77&_nc_ohc=oMGZ8LmYkvEAX-8tFY8&_nc_ht=scontent.fhan14-3.fna&oh=00_AfBVwQYrGKjXucTIsyiVYWUBh3WXCwvt0e80bIx0-LM5cA&oe=657219ED,Ninh Bình,,"Ninh Bình
Tỉnh/Thành phố hiện tại
Nho Quan, Ninh Bình, Vietnam
Quê quán",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
